,DAY365,DATE,Max Temperature (C),Min Temperature (C),Mean Temperature (C),above_pct,HW
0,1,2020-01-01,,,,0,0
1,2,2020-01-02,,,,0,0
2,3,2020-01-03,,,,0,0
3,4,2020-01-04,,,,0,0
4,5,2020-01-05,,,,0,0
5,6,2020-01-06,,,,0,0
6,7,2020-01-07,,,,0,0
7,8,2020-01-08,,,,0,0
8,9,2020-01-09,,,,0,0
9,10,2020-01-10,,,,0,0
10,11,2020-01-11,,,,0,0
11,12,2020-01-12,,,,0,0
12,13,2020-01-13,,,,0,0
13,14,2020-01-14,,,,0,0
14,15,2020-01-15,,,,0,0
15,16,2020-01-16,,,,0,0
16,17,2020-01-17,,,,0,0
17,18,2020-01-18,,,,0,0
18,19,2020-01-19,,,,0,0
19,20,2020-01-20,,,,0,0
20,21,2020-01-21,,,,0,0
21,22,2020-01-22,,,,0,0
22,23,2020-01-23,,,,0,0
23,24,2020-01-24,,,,0,0
24,25,2020-01-25,,,,0,0
25,26,2020-01-26,,,,0,0
26,27,2020-01-27,,,,0,0
27,28,2020-01-28,,,,0,0
28,29,2020-01-29,,,,0,0
29,30,2020-01-30,,,,0,0
30,31,2020-01-31,,,,0,0
31,32,2020-02-01,,,,0,0
32,33,2020-02-02,,,,0,0
33,34,2020-02-03,,,,0,0
34,35,2020-02-04,,,,0,0
35,36,2020-02-05,,,,0,0
36,37,2020-02-06,,,,0,0
37,38,2020-02-07,,,,0,0
38,39,2020-02-08,,,,0,0
39,40,2020-02-09,,,,0,0
40,41,2020-02-10,,,,0,0
41,42,2020-02-11,,,,0,0
42,43,2020-02-12,,,,0,0
43,44,2020-02-13,,,,0,0
44,45,2020-02-14,,,,0,0
45,46,2020-02-15,,,,0,0
46,47,2020-02-16,,,,0,0
47,48,2020-02-17,,,,0,0
48,49,2020-02-18,,,,0,0
49,50,2020-02-19,,,,0,0
50,51,2020-02-20,,,,0,0
51,52,2020-02-21,,,,0,0
52,53,2020-02-22,,,,0,0
53,54,2020-02-23,,,,0,0
54,55,2020-02-24,,,,0,0
55,56,2020-02-25,,,,0,0
56,57,2020-02-26,,,,0,0
57,58,2020-02-27,,,,0,0
58,59,2020-02-28,,,,0,0
59,60,2020-03-01,,,,0,0
60,61,2020-03-02,,,,0,0
61,62,2020-03-03,,,,0,0
62,63,2020-03-04,,,,0,0
63,64,2020-03-05,,,,0,0
64,65,2020-03-06,,,,0,0
65,66,2020-03-07,,,,0,0
66,67,2020-03-08,,,,0,0
67,68,2020-03-09,,,,0,0
68,69,2020-03-10,,,,0,0
69,70,2020-03-11,,,,0,0
70,71,2020-03-12,,,,0,0
71,72,2020-03-13,,,,0,0
72,73,2020-03-14,,,,0,0
73,74,2020-03-15,,,,0,0
74,75,2020-03-16,,,,0,0
75,76,2020-03-17,,,,0,0
76,77,2020-03-18,,,,0,0
77,78,2020-03-19,,,,0,0
78,79,2020-03-20,,,,0,0
79,80,2020-03-21,,,,0,0
80,81,2020-03-22,,,,0,0
81,82,2020-03-23,,,,0,0
82,83,2020-03-24,,,,0,0
83,84,2020-03-25,,,,0,0
84,85,2020-03-26,,,,0,0
85,86,2020-03-27,,,,0,0
86,87,2020-03-28,,,,0,0
87,88,2020-03-29,,,,0,0
88,89,2020-03-30,,,,0,0
89,90,2020-03-31,,,,0,0
90,91,2020-04-01,,,,0,0
91,92,2020-04-02,,,,0,0
92,93,2020-04-03,,,,0,0
93,94,2020-04-04,,,,0,0
94,95,2020-04-05,,,,0,0
95,96,2020-04-06,,,,0,0
96,97,2020-04-07,,,,0,0
97,98,2020-04-08,,,,0,0
98,99,2020-04-09,,,,0,0
99,100,2020-04-10,,,,0,0
100,101,2020-04-11,,,,0,0
101,102,2020-04-12,,,,0,0
102,103,2020-04-13,,,,0,0
103,104,2020-04-14,,,,0,0
104,105,2020-04-15,,,,0,0
105,106,2020-04-16,,,,0,0
106,107,2020-04-17,,,,0,0
107,108,2020-04-18,,,,0,0
108,109,2020-04-19,,,,0,0
109,110,2020-04-20,,,,0,0
110,111,2020-04-21,,,,0,0
111,112,2020-04-22,,,,0,0
112,113,2020-04-23,,,,0,0
113,114,2020-04-24,,,,0,0
114,115,2020-04-25,,,,0,0
115,116,2020-04-26,,,,0,0
116,117,2020-04-27,,,,0,0
117,118,2020-04-28,,,,0,0
118,119,2020-04-29,,,,0,0
119,120,2020-04-30,,,,0,0
120,121,2020-05-01,,,,0,0
121,122,2020-05-02,,,,0,0
122,123,2020-05-03,,,,0,0
123,124,2020-05-04,,,,0,0
124,125,2020-05-05,,,,0,0
125,126,2020-05-06,,,,0,0
126,127,2020-05-07,,,,0,0
127,128,2020-05-08,,,,0,0
128,129,2020-05-09,,,,0,0
129,130,2020-05-10,,,,0,0
130,131,2020-05-11,,,,0,0
131,132,2020-05-12,,,,0,0
132,133,2020-05-13,,,,0,0
133,134,2020-05-14,,,,0,0
134,135,2020-05-15,,,,0,0
135,136,2020-05-16,,,,0,0
136,137,2020-05-17,,,,0,0
137,138,2020-05-18,,,,0,0
138,139,2020-05-19,,,,0,0
139,140,2020-05-20,,,,0,0
140,141,2020-05-21,,,,0,0
141,142,2020-05-22,,,,0,0
142,143,2020-05-23,,,,0,0
143,144,2020-05-24,,,,0,0
144,145,2020-05-25,,,,0,0
145,146,2020-05-26,,,,0,0
146,147,2020-05-27,,,,0,0
147,148,2020-05-28,,,,0,0
148,149,2020-05-29,,,,0,0
149,150,2020-05-30,,,,0,0
150,151,2020-05-31,,,,0,0
151,152,2020-06-01,,,,0,0
152,153,2020-06-02,,,,0,0
153,154,2020-06-03,,,,0,0
154,155,2020-06-04,,,,0,0
155,156,2020-06-05,,,,0,0
156,157,2020-06-06,,,,0,0
157,158,2020-06-07,,,,0,0
158,159,2020-06-08,,,,0,0
159,160,2020-06-09,,,,0,0
160,161,2020-06-10,,,,0,0
161,162,2020-06-11,,,,0,0
162,163,2020-06-12,,,,0,0
163,164,2020-06-13,,,,0,0
164,165,2020-06-14,,,,0,0
165,166,2020-06-15,,,,0,0
166,167,2020-06-16,,,,0,0
167,168,2020-06-17,,,,0,0
168,169,2020-06-18,,,,0,0
169,170,2020-06-19,,,,0,0
170,171,2020-06-20,,,,0,0
171,172,2020-06-21,,,,0,0
172,173,2020-06-22,,,,0,0
173,174,2020-06-23,,,,0,0
174,175,2020-06-24,,,,0,0
175,176,2020-06-25,,,,0,0
176,177,2020-06-26,,,,0,0
177,178,2020-06-27,,,,0,0
178,179,2020-06-28,,,,0,0
179,180,2020-06-29,,,,0,0
180,181,2020-06-30,,,,0,0
181,182,2020-07-01,,,,0,0
182,183,2020-07-02,,,,0,0
183,184,2020-07-03,,,,0,0
184,185,2020-07-04,,,,0,0
185,186,2020-07-05,,,,0,0
186,187,2020-07-06,,,,0,0
187,188,2020-07-07,,,,0,0
188,189,2020-07-08,,,,0,0
189,190,2020-07-09,,,,0,0
190,191,2020-07-10,,,,0,0
191,192,2020-07-11,,,,0,0
192,193,2020-07-12,,,,0,0
193,194,2020-07-13,,,,0,0
194,195,2020-07-14,,,,0,0
195,196,2020-07-15,,,,0,0
196,197,2020-07-16,,,,0,0
197,198,2020-07-17,,,,0,0
198,199,2020-07-18,,,,0,0
199,200,2020-07-19,,,,0,0
200,201,2020-07-20,,,,0,0
201,202,2020-07-21,,,,0,0
202,203,2020-07-22,,,,0,0
203,204,2020-07-23,,,,0,0
204,205,2020-07-24,,,,0,0
205,206,2020-07-25,,,,0,0
206,207,2020-07-26,,,,0,0
207,208,2020-07-27,,,,0,0
208,209,2020-07-28,,,,0,0
209,210,2020-07-29,,,,0,0
210,211,2020-07-30,,,,0,0
211,212,2020-07-31,,,,0,0
212,213,2020-08-01,,,,0,0
213,214,2020-08-02,,,,0,0
214,215,2020-08-03,23.66,22.02,22.54,0,0
215,216,2020-08-04,24.04,20.61,22.11,0,0
216,217,2020-08-05,23.77,20.63,21.95,0,0
217,218,2020-08-06,24.14,20.03,21.87,0,0
218,219,2020-08-07,23.92,20.66,21.99,0,0
219,220,2020-08-08,23.35,20.86,22.08,0,0
220,221,2020-08-09,24.94,21.85,23.06,0,0
221,222,2020-08-10,25.9,21.31,23.55,0,0
222,223,2020-08-11,25.95,23.43,24.49,0,0
223,224,2020-08-12,26.26,23.51,24.81,0,0
224,225,2020-08-13,27.22,24.4,25.72,0,0
225,226,2020-08-14,27.89,24.72,26.28,0,0
226,227,2020-08-15,27.66,24.76,26.08,0,0
227,228,2020-08-16,24.61,22.97,24.03,0,0
228,229,2020-08-17,24.27,21.93,22.96,0,0
229,230,2020-08-18,22.49,21.07,21.82,0,0
230,231,2020-08-19,25.03,20.87,22.66,0,0
231,232,2020-08-20,23.12,20.55,21.86,0,0
232,233,2020-08-21,20.93,18.56,19.82,0,0
233,234,2020-08-22,19.36,17.38,18.14,0,0
234,235,2020-08-23,21.07,17.22,18.5,0,0
235,236,2020-08-24,22.02,18.04,19.52,0,0
236,237,2020-08-25,21.68,18.43,19.77,0,0
237,238,2020-08-26,22.69,18.42,20.15,0,0
238,239,2020-08-27,24.77,20.16,21.82,0,0
239,240,2020-08-28,26.39,21.22,23.45,0,0
240,241,2020-08-29,26.99,22.52,24.72,0,0
241,242,2020-08-30,28.03,23.68,25.67,0,0
242,243,2020-08-31,28.35,23.86,25.87,0,0
243,244,2020-09-01,27.28,24.36,25.39,0,0
244,245,2020-09-02,27.2,23.56,25.09,0,0
245,246,2020-09-03,27.39,24.59,25.89,0,0
246,247,2020-09-04,,,,0,0
247,248,2020-09-05,,,,0,0
248,249,2020-09-06,,,,0,0
249,250,2020-09-07,,,,0,0
250,251,2020-09-08,,,,0,0
251,252,2020-09-09,,,,0,0
252,253,2020-09-10,,,,0,0
253,254,2020-09-11,,,,0,0
254,255,2020-09-12,,,,0,0
255,256,2020-09-13,,,,0,0
256,257,2020-09-14,,,,0,0
257,258,2020-09-15,,,,0,0
258,259,2020-09-16,,,,0,0
259,260,2020-09-17,,,,0,0
260,261,2020-09-18,,,,0,0
261,262,2020-09-19,,,,0,0
262,263,2020-09-20,,,,0,0
263,264,2020-09-21,,,,0,0
264,265,2020-09-22,,,,0,0
265,266,2020-09-23,,,,0,0
266,267,2020-09-24,,,,0,0
267,268,2020-09-25,,,,0,0
268,269,2020-09-26,,,,0,0
269,270,2020-09-27,,,,0,0
270,271,2020-09-28,,,,0,0
271,272,2020-09-29,,,,0,0
272,273,2020-09-30,,,,0,0
273,274,2020-10-01,,,,0,0
274,275,2020-10-02,,,,0,0
275,276,2020-10-03,,,,0,0
276,277,2020-10-04,,,,0,0
277,278,2020-10-05,,,,0,0
278,279,2020-10-06,,,,0,0
279,280,2020-10-07,,,,0,0
280,281,2020-10-08,,,,0,0
281,282,2020-10-09,,,,0,0
282,283,2020-10-10,,,,0,0
283,284,2020-10-11,,,,0,0
284,285,2020-10-12,,,,0,0
285,286,2020-10-13,,,,0,0
286,287,2020-10-14,,,,0,0
287,288,2020-10-15,,,,0,0
288,289,2020-10-16,,,,0,0
289,290,2020-10-17,,,,0,0
290,291,2020-10-18,,,,0,0
291,292,2020-10-19,,,,0,0
292,293,2020-10-20,,,,0,0
293,294,2020-10-21,,,,0,0
294,295,2020-10-22,,,,0,0
295,296,2020-10-23,,,,0,0
296,297,2020-10-24,,,,0,0
297,298,2020-10-25,,,,0,0
298,299,2020-10-26,,,,0,0
299,300,2020-10-27,,,,0,0
300,301,2020-10-28,,,,0,0
301,302,2020-10-29,,,,0,0
302,303,2020-10-30,,,,0,0
303,304,2020-10-31,,,,0,0
304,305,2020-11-01,,,,0,0
305,306,2020-11-02,,,,0,0
306,307,2020-11-03,,,,0,0
307,308,2020-11-04,,,,0,0
308,309,2020-11-05,,,,0,0
309,310,2020-11-06,,,,0,0
310,311,2020-11-07,,,,0,0
311,312,2020-11-08,,,,0,0
312,313,2020-11-09,,,,0,0
313,314,2020-11-10,,,,0,0
314,315,2020-11-11,,,,0,0
315,316,2020-11-12,,,,0,0
316,317,2020-11-13,,,,0,0
317,318,2020-11-14,,,,0,0
318,319,2020-11-15,,,,0,0
319,320,2020-11-16,,,,0,0
320,321,2020-11-17,,,,0,0
321,322,2020-11-18,,,,0,0
322,323,2020-11-19,,,,0,0
323,324,2020-11-20,,,,0,0
324,325,2020-11-21,,,,0,0
325,326,2020-11-22,,,,0,0
326,327,2020-11-23,,,,0,0
327,328,2020-11-24,,,,0,0
328,329,2020-11-25,,,,0,0
329,330,2020-11-26,,,,0,0
330,331,2020-11-27,,,,0,0
331,332,2020-11-28,,,,0,0
332,333,2020-11-29,,,,0,0
333,334,2020-11-30,,,,0,0
334,335,2020-12-01,,,,0,0
335,336,2020-12-02,,,,0,0
336,337,2020-12-03,,,,0,0
337,338,2020-12-04,,,,0,0
338,339,2020-12-05,,,,0,0
339,340,2020-12-06,,,,0,0
340,341,2020-12-07,,,,0,0
341,342,2020-12-08,,,,0,0
342,343,2020-12-09,,,,0,0
343,344,2020-12-10,,,,0,0
344,345,2020-12-11,,,,0,0
345,346,2020-12-12,,,,0,0
346,347,2020-12-13,,,,0,0
347,348,2020-12-14,,,,0,0
348,349,2020-12-15,,,,0,0
349,350,2020-12-16,,,,0,0
350,351,2020-12-17,,,,0,0
351,352,2020-12-18,,,,0,0
352,353,2020-12-19,,,,0,0
353,354,2020-12-20,,,,0,0
354,355,2020-12-21,,,,0,0
355,356,2020-12-22,,,,0,0
356,357,2020-12-23,,,,0,0
357,358,2020-12-24,,,,0,0
358,359,2020-12-25,,,,0,0
359,360,2020-12-26,,,,0,0
360,361,2020-12-27,,,,0,0
361,362,2020-12-28,,,,0,0
362,363,2020-12-29,,,,0,0
363,364,2020-12-30,,,,0,0
364,365,2020-12-31,,,,0,0
